timestamp,english,hebrew,result
"2026-03-16T18:53:43.430Z","cow","פרה","correct"
"2026-03-16T18:53:50.027Z","fall","ליפול","correct"
"2026-03-16T18:54:15.014Z","farewell","פרידה","correct"
"2026-03-16T18:54:17.892Z","chicken","תרנגולת","correct"
"2026-03-16T18:54:43.190Z","door","דלת","correct"
"2026-03-16T18:54:47.448Z","basis","יסוד","correct"
"2026-03-16T18:55:33.479Z","frog","ו","incorrect"
"2026-03-16T18:55:58.044Z","think","לחשוב","correct"
"2026-03-16T18:56:01.504Z","giraffe","גיראפה","correct"
"2026-03-16T18:56:34.258Z","queen","מלכה","correct"
"2026-03-16T18:56:43.815Z","analysis","ניתוח","correct"
"2026-03-16T18:57:42.322Z","ambition","שאיפה","correct"
"2026-03-16T18:57:44.949Z","sea","ים","correct"
"2026-03-16T18:58:15.094Z","would","היה","correct"
"2026-03-16T18:58:20.212Z","am","ו","incorrect"
"2026-03-16T18:58:32.998Z","shadows","צללים","correct"
"2026-03-16T18:59:10.390Z","magic","קסם","correct"
"2026-03-16T18:59:37.888Z","earth","כדור הארץ","correct"
"2026-03-16T19:00:37.472Z","pillow","כרית","correct"
"2026-03-16T19:01:53.022Z","above","מעל","correct"
"2026-03-16T19:02:31.116Z","ticket","כרטיס","correct"
"2026-03-16T19:02:37.755Z","single","רוח רפאים","incorrect"
"2026-03-16T19:02:42.208Z","run","לרוץ","correct"
"2026-03-16T19:04:12.455Z","link","כתובת","incorrect"
"2026-03-16T19:04:19.470Z","room","חדר","correct"
"2026-03-16T19:04:27.066Z","would","לאחור","incorrect"
"2026-03-16T19:04:37.929Z","breathing","גס רוח / לא מנומס","incorrect"
"2026-03-16T19:04:43.265Z","ceremony","טקס","correct"
"2026-03-16T19:05:30.776Z","around","סביב","correct"
"2026-03-16T19:05:33.961Z","day","יום","correct"
"2026-03-16T19:06:14.420Z","rare","נדיר","correct"
"2026-03-16T19:06:18.073Z","admire","נדהם","incorrect"
"2026-03-16T19:06:21.195Z","direction","כיוון","correct"
"2026-03-16T19:06:47.951Z","strong","הגעה","incorrect"
"2026-03-16T19:06:51.413Z","bottle","בקבוק","correct"
"2026-03-16T19:07:26.224Z","twelve","שתים עשרה","correct"
"2026-03-16T19:07:48.877Z","sweet","מתוק","correct"
"2026-03-16T19:07:51.257Z","drink","משקה/לשתות","correct"
"2026-03-16T19:08:13.746Z","leave","לעזוב","correct"
"2026-03-16T19:08:45.049Z","arrival","הגעה","correct"
"2026-03-16T19:09:14.727Z","game","משחק","correct"
"2026-03-16T19:09:18.835Z","bell","פעמון","correct"
"2026-03-16T19:09:49.266Z","zebra","זברה","correct"
"2026-03-16T19:09:53.114Z","my","שלי","correct"
"2026-03-17T12:55:54.755Z","bird","ציפור","correct"
"2026-03-17T12:56:00.106Z","you'll","אתה ת","correct"
"2026-03-17T12:56:20.253Z","approximately","בערך","correct"
"2026-03-17T12:56:24.469Z","got","טקס","incorrect"
"2026-03-17T12:56:32.533Z","pet","חיית מחמד","correct"
"2026-03-17T12:57:09.858Z","tire","סדק","incorrect"
"2026-03-17T12:57:14.768Z","advise","לייעץ","correct"
"2026-03-17T12:57:18.355Z","I","אני","correct"
"2026-03-17T12:58:18.903Z","advise","לייעץ","correct"
"2026-03-17T12:58:22.123Z","and","מי?","incorrect"
"2026-03-17T12:58:28.037Z","hair","שיער","correct"
"2026-03-17T12:59:12.723Z","thousand","אלף","correct"
"2026-03-17T12:59:17.098Z","company","להתגעגע","incorrect"
"2026-03-17T12:59:38.922Z","lived","לוח","incorrect"
"2026-03-17T12:59:42.216Z","bus","אוטובוס","correct"
"2026-03-17T13:00:02.366Z","dream","חלום","correct"
"2026-03-17T13:00:07.105Z","million","מיליון","correct"
"2026-03-17T13:00:27.646Z","ball","כדור","correct"
"2026-03-17T13:00:31.932Z","bed","מיטה","correct"
"2026-03-17T13:01:02.106Z","my","שלי","correct"
"2026-03-17T13:01:05.652Z","real","אמיתי","correct"
"2026-03-17T13:02:00.410Z","nose","אף","correct"
"2026-03-17T13:02:10.653Z","leave","לעזוב","correct"
"2026-03-17T13:03:03.766Z","be","הרחק","incorrect"
"2026-03-17T13:03:13.107Z","get","חוט","incorrect"
"2026-03-17T13:03:19.211Z","the","ה־","correct"
"2026-03-17T13:03:35.879Z","hear","לחיות","incorrect"
"2026-03-17T13:03:39.025Z","pool","בריכה","correct"
"2026-03-17T13:04:23.169Z","kid","ילד/ה","correct"
"2026-03-17T13:04:29.510Z","sharing","לשתף","correct"
"2026-03-17T13:04:50.437Z","scissors","מספריים","correct"
"2026-03-17T13:05:11.582Z","queen","מלכה","correct"
"2026-03-17T13:05:51.859Z","under","מתחת","correct"
"2026-03-17T13:06:02.471Z","drag","לגרור","correct"
"2026-03-17T13:06:32.824Z","around","סביב","correct"
"2026-03-17T13:06:36.133Z","summer","קיץ","correct"
"2026-03-17T13:07:25.373Z","duck","ברווז","correct"
"2026-03-17T13:07:35.854Z","too","גם","correct"
"2026-03-17T13:08:01.777Z","prettiest","הכי יפה","correct"
"2026-03-17T13:08:09.052Z","teardrop","דמעה","correct"
"2026-03-17T13:08:54.245Z","key","לכופף","incorrect"
"2026-03-17T13:08:59.216Z","fall","ליפול","correct"
"2026-03-17T13:09:02.915Z","tell","לספר","correct"
"2026-03-17T13:09:39.624Z","under","מתחת","correct"
"2026-03-17T20:57:02.728Z","meant","להאיר","incorrect"
"2026-03-17T20:57:14.319Z","autumn","סתיו","correct"
"2026-03-17T20:57:20.673Z","tell","לנתח","incorrect"
"2026-03-17T20:57:27.619Z","quilt","נשימה","incorrect"
"2026-03-17T20:57:33.390Z","true","מפוחד","incorrect"
"2026-03-17T20:57:38.668Z","drink","משקה/לשתות","correct"
"2026-03-17T20:57:58.556Z","talk","לומר","incorrect"
"2026-03-17T20:58:19.881Z","lives","חיים","correct"
"2026-03-17T20:58:22.366Z","cake","עוגה","correct"
"2026-03-17T20:58:50.987Z","try","לנסות","correct"
"2026-03-17T20:58:53.674Z","time","זמן","correct"
"2026-03-17T20:59:24.486Z","advise","לייעץ","correct"
"2026-03-17T20:59:28.476Z","get","זורח","incorrect"
"2026-03-17T20:59:32.424Z","better","טוב יותר","correct"
"2026-03-17T20:59:54.286Z","who is","מי?","correct"
"2026-03-17T20:59:59.706Z","everywhere","בכל מקום","correct"
"2026-03-17T21:00:26.024Z","spider","עכביש","correct"
"2026-03-21T19:38:55.298Z","million","מיליון","correct"
"2026-03-21T19:39:03.715Z","past","מדוכא","incorrect"
"2026-03-21T19:39:10.191Z","lives","להרגיש","incorrect"
"2026-03-21T19:39:15.463Z","wake","להתעורר","correct"
"2026-03-21T19:39:40.896Z","I","אני","correct"
"2026-03-21T19:39:47.916Z","prayer","להיוולד","incorrect"
"2026-03-21T19:39:51.892Z","analyse","לנצח","incorrect"
"2026-03-21T19:39:55.429Z","book","ספר","correct"
"2026-03-21T19:40:30.179Z","got","קיבל","correct"
"2026-03-21T19:40:37.372Z","rock","אמונה","incorrect"
"2026-03-21T19:40:44.765Z","apologise","להתנצל","correct"
"2026-03-21T19:41:24.577Z","ride","לרכוב על / לסוע ב","correct"
"2026-03-21T19:41:45.321Z","pet","חייתי","incorrect"
"2026-03-21T19:41:49.432Z","am","אני","correct"
"2026-03-21T19:42:18.513Z","eventually","בסופו של דבר","correct"
"2026-03-21T19:42:22.285Z","shoes","נעליים","correct"
"2026-03-21T19:43:02.438Z","king","מלך","correct"
"2026-03-21T19:43:25.389Z","mouth","גחלילית","incorrect"
"2026-03-21T19:43:34.548Z","bizarre","אמונה","incorrect"
"2026-03-21T19:44:07.067Z","rare","הרחק","incorrect"
"2026-03-21T19:44:11.722Z","box","קופסא","correct"
"2026-03-21T19:45:24.568Z","achievement","חצאית","incorrect"
"2026-03-21T19:45:30.813Z","bother","להטריד","correct"
"2026-03-21T19:45:39.625Z","room","חדר","correct"
"2026-03-21T19:46:02.364Z","afford","להרשות לעצמו","correct"
"2026-03-21T19:46:08.320Z","jeans","ג`ינס","correct"
"2026-03-21T19:46:48.532Z","assignment","מטלה","correct"
"2026-03-21T19:46:56.410Z","light","להאיר","correct"
"2026-03-21T19:47:25.547Z","won't","לא יהיה","correct"
"2026-03-21T19:47:29.395Z","leave","לעזוב","correct"
"2026-03-21T19:48:07.715Z","afford","להרשות לעצמו","correct"
"2026-03-21T19:48:11.746Z","believe","להאמין","correct"
"2026-03-21T19:48:52.856Z","know","לדעת","correct"
"2026-03-21T19:48:56.830Z","everywhere","בכל מקום","correct"
"2026-03-21T19:50:31.389Z","belong","שייך","correct"
"2026-03-21T19:50:37.007Z","queen","מלכה","correct"
"2026-03-21T19:50:58.455Z","kid","ילד/ה","correct"
"2026-03-21T19:51:03.626Z","horse","סוס","correct"
"2026-03-21T19:51:36.070Z","stay","להישאר","correct"
"2026-03-21T19:51:40.429Z","fish","דג","correct"
"2026-03-28T16:40:21.617Z","fish","להסתכל","incorrect"
"2026-03-28T19:48:11.871Z","where are you?","איפה את/ה?","correct"
"2026-03-28T19:48:14.595Z","know","לדעת","correct"
"2026-03-28T19:48:40.420Z","cut","לחתוך","correct"
"2026-03-28T19:48:43.732Z","would","לתלות","incorrect"
"2026-03-28T19:48:46.469Z","battery","סוללה","correct"
"2026-03-28T19:49:06.364Z","animal","חיה","correct"
"2026-03-28T19:49:11.285Z","count","לשנות","incorrect"
"2026-03-28T19:49:23.919Z","cause","לעלות (מחיר)","incorrect"
"2026-03-28T19:49:27.817Z","hippo","היפופוטם","correct"
"2026-03-28T19:50:02.491Z","hunters","ציידים","correct"
"2026-03-28T19:50:06.774Z","like","לאהוב","correct"
"2026-03-28T19:50:42.433Z","head","ראש","correct"
"2026-03-28T19:50:46.290Z","water","מים","correct"
"2026-03-28T19:51:08.046Z","direction","כיוון","correct"
"2026-03-28T19:51:15.339Z","hard","קשה","correct"
"2026-03-28T19:51:45.444Z","analyse","לנתח","correct"
"2026-03-28T19:52:59.736Z","agreement","לגרום","incorrect"
"2026-03-28T19:53:02.577Z","bride","קסם","incorrect"
"2026-03-28T19:53:08.812Z","try","לנסות","correct"
"2026-03-28T19:53:32.843Z","feel","להרגיש","correct"
"2026-03-28T19:53:39.565Z","demanding","דורש","correct"
"2026-03-28T19:55:03.909Z","single","יחיד","correct"
"2026-03-28T19:55:08.786Z","apart","להמתין","incorrect"
"2026-03-28T19:55:14.499Z","admire","להעריץ","correct"
"2026-03-28T19:55:47.568Z","give","לקבל","incorrect"
"2026-03-28T19:55:50.812Z","on","על","correct"
"2026-03-28T19:55:55.047Z","away","הרחק","correct"
"2026-03-28T19:57:47.196Z","shiver","צמרמורת","correct"
"2026-03-28T19:57:53.632Z","have","עבור","incorrect"
"2026-03-28T19:57:59.556Z","bomb","פצצה","correct"
"2026-03-28T19:58:52.460Z","aware","בכל מקום","incorrect"
"2026-03-28T19:58:56.124Z","try","לנסות","correct"
"2026-03-28T19:58:58.793Z","this","זה","correct"
"2026-03-28T19:59:21.943Z","umbrella","מטריה","correct"
"2026-03-28T20:00:09.568Z","try","לנסות","correct"
"2026-03-28T20:01:11.346Z","find","למצוא","correct"
"2026-03-28T20:01:17.137Z","prayer","תפילה","correct"
"2026-03-28T20:03:05.413Z","assignment","מטלה","correct"
"2026-03-28T20:03:09.078Z","going","לבסוף","incorrect"
"2026-03-28T20:03:23.491Z","cause","קישור","incorrect"
"2026-03-28T20:03:29.549Z","you'll","אתה ת","correct"
"2026-03-28T20:04:10.798Z","zebra","זברה","correct"
"2026-03-29T14:03:32.714Z","by","להרגיש","incorrect"
"2026-04-05T16:53:09.954Z","zero","אמיתי","incorrect"
"2026-04-05T16:53:14.567Z","open","לפתוח","correct"
"2026-04-05T16:53:21.109Z","tried","ניסה","correct"
"2026-04-05T16:53:43.509Z","single","יחיד","correct"
"2026-04-05T16:53:46.602Z","hippo","היפופוטם","correct"
"2026-04-05T16:54:36.149Z","drink","משקה/לשתות","correct"
"2026-04-05T16:55:09.109Z","thirsty","צמא","correct"
"2026-04-05T16:55:31.218Z","life","חיים","correct"
"2026-04-05T16:55:33.990Z","who is","מי?","correct"
"2026-04-05T16:56:06.681Z","foot","כף רגל","correct"
"2026-04-05T16:56:28.879Z","fill","למלא","correct"
"2026-04-05T20:21:34.044Z","way","דרך","correct"
"2026-04-05T20:21:39.464Z","walk","גבול","incorrect"
"2026-04-05T20:21:44.381Z","bear","דוב","correct"
"2026-04-05T20:22:29.369Z","opened","פתח","correct"
"2026-04-05T20:22:33.428Z","bug","חרק","correct"
"2026-04-05T20:23:17.104Z","would","היה","correct"
"2026-04-05T20:24:08.892Z","ghost","רוח רפאים","correct"
"2026-04-05T20:24:58.910Z","came","מלחמה","incorrect"
"2026-04-05T20:25:26.099Z","we","אנחנו","correct"
"2026-04-05T20:26:00.666Z","apologise","נשימה","incorrect"
"2026-04-05T20:26:04.502Z","stare","להביט","incorrect"
"2026-04-05T20:26:09.169Z","pet","לקחת","incorrect"
"2026-04-05T20:26:12.723Z","pet","חיית מחמד","correct"
"2026-04-05T20:26:35.656Z","I","אני","correct"
"2026-04-05T20:26:41.478Z","company","מונית","incorrect"
"2026-04-05T20:26:45.731Z","queen","מלכה","correct"
"2026-04-05T20:27:01.724Z","water","מים","correct"
"2026-04-05T20:27:15.215Z","throne","כס מלכות","correct"
"2026-04-05T20:27:47.933Z","done","בוצע / סיים","correct"
"2026-04-05T20:27:53.124Z","are","הם/אתה","correct"
"2026-04-05T20:28:15.012Z","away","הרחק","correct"
"2026-04-05T20:28:17.330Z","bake","לאפות","correct"
"2026-04-05T20:28:48.642Z","we","אנחנו","correct"
"2026-04-05T20:29:01.939Z","earth","כדור הארץ","correct"
"2026-04-05T20:29:24.840Z","miss","להתגעגע","correct"
"2026-04-05T20:29:30.732Z","hair","שיער","correct"
"2026-04-05T20:33:40.072Z","ambition","הסכמה","incorrect"
"2026-04-06T12:10:00.768Z","hair","שיער","correct"
"2026-04-06T12:10:09.530Z","walk","הליכה","correct"
"2026-04-06T12:10:31.999Z","don't","לא","correct"
"2026-04-06T12:10:35.159Z","just","רק","correct"
"2026-04-06T12:10:57.605Z","put","לשים","correct"
"2026-04-06T12:11:04.927Z","know","לדעת","correct"
"2026-04-06T12:11:27.262Z","skirt","חצאית","correct"
"2026-04-06T12:11:34.157Z","border","נדבן שינה","incorrect"
"2026-04-06T12:11:41.492Z","together","ביחד","correct"
"2026-04-06T12:12:21.322Z","application","בקשה / אפליקציה","correct"
"2026-04-06T12:12:28.471Z","vet","וטרינר","correct"
"2026-04-06T12:12:51.896Z","understanding","הבנה","correct"
"2026-04-06T12:12:59.845Z","assignment","מפוחד","incorrect"
"2026-04-06T12:13:08.343Z","blowing","נושבות","correct"
"2026-04-06T12:13:41.537Z","everywhere","בכל מקום","correct"
"2026-04-06T12:13:48.454Z","saw","להאיר","incorrect"
"2026-04-06T12:14:00.344Z","moment","רגע","correct"
"2026-04-06T12:14:22.756Z","try","לנסות","correct"
"2026-04-06T12:14:29.114Z","coat","מעיל","correct"
"2026-04-06T12:15:43.092Z","centre","מרכז","correct"
"2026-04-06T12:16:11.070Z","autumn","מוטב","incorrect"
"2026-04-06T12:16:14.820Z","sun","שמש","correct"
"2026-04-06T12:16:28.467Z","believe","להאמין","correct"
"2026-04-06T12:16:33.820Z","alarm","אזעקה","correct"
"2026-04-06T12:16:58.354Z","sign","מדוכא","incorrect"
"2026-04-06T12:17:03.507Z","change","קצה עליון/סביבון","incorrect"
"2026-04-06T12:17:06.844Z","fox","שועל","correct"
"2026-04-06T12:17:09.956Z","country","ארץ","correct"
"2026-04-06T12:17:29.736Z","try","לנסות","correct"
"2026-04-06T12:17:32.176Z","am","אני","correct"
"2026-04-06T12:17:59.547Z","bird","ציפור","correct"
"2026-04-06T12:18:02.667Z","you'll","אתה ת","correct"
"2026-04-06T12:18:22.320Z","careless","רשלני","correct"
"2026-04-06T12:18:27.539Z","have","יש","correct"
"2026-04-06T12:18:48.644Z","you'll","אתה ת","correct"
"2026-04-06T12:19:12.275Z","belong","גס רוח / לא מנומס","incorrect"
"2026-04-06T12:19:15.805Z","feel","להרגיש","correct"
"2026-04-06T12:19:44.378Z","this","זה","correct"
"2026-04-06T12:19:52.261Z","base","אוטובוס","incorrect"
"2026-04-06T12:20:05.737Z","of","להסתתר","incorrect"
"2026-04-06T12:20:10.275Z","beach","חוף","correct"
"2026-04-06T12:20:53.769Z","by","ליד","correct"
"2026-04-06T16:53:37.750Z","sharing","לקבור","incorrect"
"2026-04-06T16:53:42.024Z","donkey","חמור","correct"
"2026-04-06T16:53:50.811Z","shoes","נעליים","correct"
"2026-04-06T16:54:36.912Z","shirt","חולצה","correct"
"2026-04-06T16:54:38.835Z","insomniac","בלי","incorrect"
"2026-04-06T16:54:47.661Z","quiet","שקט","correct"
"2026-04-06T16:55:11.371Z","stage","דיסקו","incorrect"
"2026-04-06T16:55:23.969Z","bell","פעמון","correct"
"2026-04-06T16:55:33.949Z","I","אני","correct"
"2026-04-06T16:57:05.435Z","shorts","מכנסיים קצרים","correct"
"2026-04-06T16:57:15.708Z","by","לקבל","incorrect"
"2026-04-06T16:57:26.388Z","my","שלי","correct"
"2026-04-06T16:59:04.637Z","sheep","דרך","incorrect"
"2026-04-06T16:59:55.980Z","zebra","זברה","correct"
"2026-04-06T17:00:36.058Z","mouth","פה","correct"
"2026-04-06T17:01:34.185Z","pretty","יפה","correct"
"2026-04-06T17:02:04.635Z","fill","למלא","correct"
"2026-04-06T17:03:07.494Z","drink","משקה/לשתות","correct"
"2026-04-06T17:03:13.437Z","careless","להודות","incorrect"
"2026-04-06T17:03:16.130Z","away","הרחק","correct"
"2026-04-06T17:03:57.987Z","quiet","שקט","correct"
"2026-04-06T17:04:02.239Z","breathe","לנשום","correct"
"2026-04-06T17:04:33.892Z","vet","וטרינר","correct"
"2026-04-06T17:05:06.772Z","arrest","אפס","incorrect"
"2026-04-06T17:05:10.719Z","attach","לצרף","correct"
"2026-04-06T17:05:45.816Z","car","מכונית","correct"
"2026-04-06T17:05:49.187Z","sea","להיראות","incorrect"
"2026-04-06T17:05:53.945Z","eyes","עיניים","correct"
"2026-04-06T17:06:51.345Z","never","אף פעם","correct"
"2026-04-06T17:06:54.743Z","bake","לאפות","correct"
"2026-04-06T17:07:33.865Z","ambition","מעלית","incorrect"
"2026-04-06T17:07:49.006Z","belief","אמונה","correct"
"2026-04-06T17:07:54.361Z","door","דלת","correct"
"2026-04-06T17:08:59.811Z","leave","לעזוב","correct"
"2026-04-06T17:09:05.985Z","understanding","חצות","incorrect"
"2026-04-06T17:09:13.571Z","strong","לא יהיה","incorrect"
"2026-04-06T17:09:18.079Z","long","ארוך","correct"
"2026-04-06T17:09:45.964Z","going","הולך","correct"
"2026-04-06T17:09:48.563Z","bee","דבורה","correct"
"2026-04-06T17:10:23.913Z","born","כתובת","incorrect"
"2026-04-06T17:10:27.653Z","snow","שלג","correct"
"2026-04-06T17:10:32.519Z","every","לנצח","incorrect"
"2026-04-06T17:10:36.207Z","up","למעלה","correct"
"2026-04-06T17:11:10.383Z","remote control","שלט (טלוויזיה)","correct"
"2026-04-07T20:13:35.531Z","goodbye","להתראות","correct"
"2026-04-07T20:13:40.072Z","earth","כדור הארץ","correct"
"2026-04-07T20:14:02.541Z","tired","לנשוך","incorrect"
"2026-04-07T20:14:08.900Z","car","מכונית","correct"
"2026-04-07T20:14:21.080Z","be","להיות","correct"
"2026-04-07T20:15:07.015Z","fill","תועלת","incorrect"
"2026-04-07T20:15:15.665Z","give","לתת","correct"
"2026-04-07T20:15:18.771Z","foxtrot","פוקסטרוט","correct"
"2026-04-07T20:15:50.396Z","sight","מראה","correct"
"2026-04-07T20:15:53.953Z","sure","בטוח","correct"
"2026-04-07T20:16:15.967Z","long","ארוך","correct"
"2026-04-07T20:16:24.784Z","half","זנב","incorrect"
"2026-04-07T20:16:33.624Z","late","מאוחר","correct"
"2026-04-07T20:17:07.471Z","into","לתוך","correct"
"2026-04-07T20:17:10.438Z","remote control","שלט (טלוויזיה)","correct"
"2026-04-07T20:17:45.930Z","problem","בעיה","correct"
"2026-04-07T20:17:51.801Z","cause","פרצוף","incorrect"
"2026-04-07T20:17:55.730Z","thread","חוט","correct"
"2026-04-07T20:18:42.747Z","get","למרות","incorrect"
"2026-04-07T20:18:47.440Z","autumn","סתיו","correct"
"2026-04-07T20:18:51.814Z","head","ראש","correct"
"2026-04-07T20:19:20.961Z","bomb","פצצה","correct"
"2026-04-07T20:19:25.913Z","mouse","עכבר","correct"
"2026-04-07T20:19:49.496Z","hunters","ציידים","correct"
"2026-04-07T20:19:54.405Z","called","להרגיז","incorrect"
"2026-04-07T20:19:59.217Z","rather","מוטב","correct"
"2026-04-07T20:20:32.593Z","bother","נוף","incorrect"
"2026-04-07T20:20:55.470Z","patterns","דפוסים","correct"
"2026-04-07T20:21:09.532Z","hang","להרגיז","incorrect"
"2026-04-07T20:21:16.649Z","sun","שמש","correct"
"2026-04-07T20:21:44.122Z","asleep","ישן","correct"
"2026-04-07T20:21:49.401Z","river","נהר","correct"
"2026-04-07T20:22:23.683Z","may","מ־","incorrect"
"2026-04-07T20:22:27.951Z","got","קיבל","correct"
"2026-04-07T20:22:32.942Z","crack","סדק","correct"
"2026-04-07T20:23:13.495Z","place","לטאה","incorrect"
"2026-04-07T20:23:16.947Z","please","בבקשה","correct"
"2026-04-07T20:23:20.445Z","believe","להאמין","correct"
"2026-04-07T20:23:59.804Z","brother","אח","correct"
"2026-04-07T20:24:04.312Z","me","אותי","correct"
"2026-04-07T20:24:27.894Z","walk","הליכה","correct"
"2026-04-08T17:44:27.295Z","know","לדעת","correct"
"2026-04-08T17:44:39.900Z","stand","לעמוד","correct"
"2026-04-08T17:45:13.559Z","kkeuteopsi","ניתוח","incorrect"
"2026-04-08T17:45:19.395Z","better","טוב יותר","correct"
"2026-04-08T17:45:25.329Z","late","מאוחר","correct"
"2026-04-08T17:45:47.021Z","crack","סדק","correct"
"2026-04-08T17:45:50.135Z","sea","ים","correct"
"2026-04-08T17:46:15.773Z","with","עם","correct"
"2026-04-08T17:46:18.501Z","authority","גס רוח / לא מנומס","incorrect"
"2026-04-08T17:46:27.026Z","block","לחיות","incorrect"
"2026-04-08T17:46:40.487Z","by","ליד","correct"
"2026-04-08T17:47:44.298Z","border","גבול","correct"
"2026-04-08T17:47:48.432Z","help","לעזור/עזרה","correct"